Date,DateKey,Year,Quarter,QuarterName,Month,MonthName,MonthShort,YearMonth,Day,DayOfWeek,DayName,IsWeekend,_gold_built_at
2021-08-07,20210807,2021,3,Q3,8,August,Aug,2021-08,7,6,Saturday,True,2026-06-24 00:14:59.277238
2021-08-08,20210808,2021,3,Q3,8,August,Aug,2021-08,8,7,Sunday,True,2026-06-24 00:14:59.277238
2021-08-09,20210809,2021,3,Q3,8,August,Aug,2021-08,9,1,Monday,False,2026-06-24 00:14:59.277238
2021-08-10,20210810,2021,3,Q3,8,August,Aug,2021-08,10,2,Tuesday,False,2026-06-24 00:14:59.277238
2021-08-11,20210811,2021,3,Q3,8,August,Aug,2021-08,11,3,Wednesday,False,2026-06-24 00:14:59.277238
2021-08-12,20210812,2021,3,Q3,8,August,Aug,2021-08,12,4,Thursday,False,2026-06-24 00:14:59.277238
2021-08-13,20210813,2021,3,Q3,8,August,Aug,2021-08,13,5,Friday,False,2026-06-24 00:14:59.277238
2021-08-14,20210814,2021,3,Q3,8,August,Aug,2021-08,14,6,Saturday,True,2026-06-24 00:14:59.277238
2021-08-15,20210815,2021,3,Q3,8,August,Aug,2021-08,15,7,Sunday,True,2026-06-24 00:14:59.277238
2021-08-16,20210816,2021,3,Q3,8,August,Aug,2021-08,16,1,Monday,False,2026-06-24 00:14:59.277238
